totalPass,accuratePass,totalLongBalls,accurateLongBalls,duelWon,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,player,team,home,away,matchweek,totalCross,accurateCross,aerialLost,duelLost,totalContest,wonContest,ShotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,challengeLost,fouls,aerialWon,goalAssist,keyPass,dispossessed,ShotOnTarget,goals,blockedScoringAttempt,bigChanceCreated,hitWoodwork,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,totalOffside,bigChanceMissed,penaltyConceded,penaltyWon,penaltyMiss,penaltySave,clearanceOffLine,errorLeadToAGoal,errorLeadToAShot,lastManTackle,TotalShots,accuratePass_p90,TotalShots_p90,ShotOnTarget_p90
22.0,14.0,11.0,3.0,1.0,1.0,1.0,3.0,90.0,30.0,7.1,8.0,"{'original': 7.1, 'alternative': 7.3}",Federico Lanzillota,aucas,aucas,orense,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
43.0,37.0,6.0,4.0,5.0,3.0,0.0,0.0,90.0,73.0,7.8,9.0,"{'original': 7.8, 'alternative': 7.8}",Juan Gonzalez,aucas,aucas,orense,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,1.0,0.0
61.0,51.0,16.0,9.0,2.0,0.0,0.0,0.0,90.0,74.0,7.4,10.0,"{'original': 7.4, 'alternative': 7.3}",Jhon Ontaneda,aucas,aucas,orense,1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0
37.0,31.0,8.0,5.0,2.0,0.0,0.0,0.0,90.0,42.0,6.7,7.0,"{'original': 6.7, 'alternative': 6.8}",Byron Carabalí,aucas,aucas,orense,1,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
29.0,24.0,8.0,4.0,2.0,0.0,0.0,0.0,90.0,46.0,7.6,9.0,"{'original': 7.6, 'alternative': 7.7}",Jonnathan Mina,aucas,aucas,orense,1,6.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,0.0
42.0,36.0,6.0,4.0,2.0,0.0,0.0,0.0,90.0,51.0,6.8,9.0,"{'original': 6.8, 'alternative': 6.6}",Edison Vega,aucas,aucas,orense,1,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,1.0,0.0
21.0,16.0,1.0,0.0,3.0,3.0,0.0,0.0,90.0,44.0,6.7,19.0,"{'original': 6.7, 'alternative': 6.5}",Luis Cano,aucas,aucas,orense,1,10.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1.0,1.0
43.0,37.0,5.0,4.0,1.0,0.0,0.0,0.0,89.0,62.0,7.0,17.0,"{'original': 7, 'alternative': 6.6}",Angelo Mina,aucas,aucas,orense,1,1.0,0.0,1.0,9.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.41573033707866,1.0112359550561798,1.0112359550561798
28.0,26.0,4.0,3.0,2.0,0.0,0.0,0.0,73.0,34.0,6.8,3.0,"{'original': 6.8, 'alternative': 6.5}",Renny Jaramillo,aucas,aucas,orense,1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.054794520547944,0.0,0.0
12.0,10.0,2.0,2.0,3.0,1.0,0.0,0.0,85.0,31.0,7.0,11.0,"{'original': 7, 'alternative': 6.9}",Ronald Briones,aucas,aucas,orense,1,2.0,1.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.588235294117647,0.0,0.0
