home,away,team,matchweek,player,shot_type,situation,player_coordinates_x,player_coordinates_y,player_coordinates_z,body_part,goal_mouth_location,goal_mouth_coordinates_x,goal_mouth_coordinates_y,goal_mouth_coordinates_z,id,time,added_time,time_seconds,draw_start_x,draw_start_y,draw_end_x,draw_end_y,draw_goal_x,draw_goal_y,reversed_period_time,reversed_period_time_seconds,incident_type,block_coordinates_x,block_coordinates_y,block_coordinates_z,draw_block_x,draw_block_y,goal_type
aucas,orense,aucas,1,Jonnathan Mina,miss,set-piece,13.824686014062639,39.64030793855042,0,left-foot,left,0,100.0,26.4,2539469,81,4.0,5594,65.78494373334829,34.883300845467076,36.882110623306055,0,36.78563275942218,100.0,1,706,shot,0.0,0.0,0.0,0.0,0.0,0
aucas,orense,aucas,1,Richard Calderón,miss,free-kick,24.04489992188386,19.734142582268795,0,right-foot,close-left,0,59.0,26.4,2539468,99,2.0,5511,65.60219906973026,56.40745088015017,41.0,0,41.0,32.53604161745987,1,789,shot,0.0,0.0,0.0,0.0,0.0,0
aucas,orense,orense,1,Agustin Maziero,save,assisted,12.807772663791457,38.884884084719054,0,right-foot,low-left,0,73.05198757397032,4.4,2539442,80,0.0,5020,27.378040273694417,29.843021853213738,40.55872739743789,0,49.660740662813325,100.0,7,380,shot,0.5945505567628135,37.66715877158736,0.0,68.78751522294917,0.8003907051582781,0
aucas,orense,orense,1,Luis Cano,save,fast-break,12.753744883842957,86.1774479492436,0,right-foot,low-centre,0,70.65083508052024,19.0,2539477,76,0.0,4977,45.76239325049506,6.615226137851886,96.39630414284761,0,57.980939548286365,81.0,8,423,shot,13.04645741591158,100.0,0.0,85.10075799956473,6.663295373377949,0
aucas,orense,orense,1,Agustin Maziero,block,assisted,12.0,22.258051013030375,0,right-foot,low-left,0,47.82197571881192,19.0,2539473,80,0.0,4965,22.5454772956003,12.0,87.12481380994842,0,30.817336933910248,81.0,8,435,shot,8.286258635117917,77.75617499670557,0.0,79.10293119919484,10.027040041011379,0
aucas,orense,aucas,1,Pedro Velasco,block,corner,21.1131337117223,82.60718844533125,0,right-foot,low-right,0,67.01737120445243,11.1,2539467,74,0.0,4864,18.578137981929558,14.048321399981653,45.40361028317713,0,0.973851931942022,100.0,9,536,shot,2.418735231901109,67.41948685710938,0.0,11.548095583744043,0.8951099645147043,0
aucas,orense,orense,1,Ariel Suarez,block,assisted,36.76325606450639,8.626768925589278,0,right-foot,low-centre,0,79.49775967940451,19.0,2539466,80,0.0,4807,52.05822188427946,12.16382701385822,16.901193954080583,0,99.759244653428,81.0,10,593,shot,15.0,12.032069274160612,0.0,38.035055864254296,15.0,0
aucas,orense,aucas,1,Richard Calderón,miss,assisted,44.9850988684115,65.54362202565213,0,right-foot,left,0,96.107085621709,38.9,2539413,64,0.0,4101,26.59455231595375,14.225840586647152,38.76579168277762,0,18.846881926811683,60.16105675299362,22,1299,shot,2.8319839295602987,29.193034107432716,0.0,60.68853427864784,1.1768224668009108,0
aucas,orense,aucas,1,Agustin Maziero,block,assisted,10.0,50.0,0,left-foot,low-left,0,47.257728101599156,19.0,2539400,63,0.0,3379,50.0,10.0,21.773795280585958,0,52.72351324091083,81.0,34,2021,shot,6.0,34.70079488611118,0.0,13.668069432572388,6.0,0
aucas,orense,orense,1,Jeison Medina,miss,assisted,10.235982779107054,57.0,0,right-foot,high,0,56.02123564737958,61.1,2539381,45,0.0,3059,57.0,9.721978180273666,100.0,0,77.29498942140881,31.146683281088976,40,2341,shot,1.2290592429621254,76.11603978223168,0.0,83.31241718700325,6.315397161394276,0
aucas,orense,aucas,1,Jeison Medina,goal,assisted,15.990222020529163,37.55696605032618,0,right-foot,low-right,0,32.91981951691565,17.1,2539358,54,0.0,2914,7.6841973750516885,7.684574592488282,78.6056901805905,0,100.0,76.17317122000514,42,2486,shot,0.0,0.0,0.0,0.0,0.0,regular
