,home,away,team,matchweek,player,shot_type,situation,player_coordinates_x,player_coordinates_y,player_coordinates_z,body_part,goal_mouth_location,goal_mouth_coordinates_x,goal_mouth_coordinates_y,goal_mouth_coordinates_z,id,time,time_seconds,draw_start_x,draw_start_y,draw_end_x,draw_end_y,draw_goal_x,draw_goal_y,reversed_period_time,reversed_period_time_seconds,incident_type,block_coordinates_x,block_coordinates_y,block_coordinates_z,draw_block_x,draw_block_y,goal_type,added_time
0,imbabura,delfin,delfin,2,Nicolás Goitea,miss,corner,7.9,38.5,0,right-foot,high-left,0,61.7,43.1,2569870,90,5381,38.5,7.9,38.3,0,38.3,56.9,1,19,shot,0.0,0.0,0.0,0.0,0.0,0,0.0
1,imbabura,delfin,delfin,2,Jose Enrique Angulo,miss,corner,8.3,40.0,0,head,right,0,39.5,11.1,2569864,89,5284,40.0,8.3,60.5,0,60.5,88.9,2,116,shot,0.0,0.0,0.0,0.0,0.0,0,0.0
2,imbabura,delfin,delfin,2,Ignacio Gariglio,save,assisted,11.4,70.3,0,right-foot,low-centre,0,50.0,13.3,2569937,87,5166,70.3,11.4,50.0,0,50.0,86.7,4,234,shot,1.1,51.1,0.0,51.1,1.1,0,0.0
3,imbabura,delfin,imbabura,2,Leonar Espinoza,miss,assisted,10.7,72.2,0,right-foot,high-right,0,40.3,54.2,2569850,86,5103,72.2,10.7,59.7,0,59.7,45.8,5,297,shot,0.0,0.0,0.0,0.0,0.0,0,0.0
4,imbabura,delfin,imbabura,2,Erick Mendoza,miss,assisted,26.4,63.1,0,left-foot,close-high-left,0,56.8,56.9,2569834,81,4827,63.1,26.4,43.2,0,43.2,43.1,10,573,shot,0.0,0.0,0.0,0.0,0.0,0,0.0
5,imbabura,delfin,delfin,2,Juan Manuel Elordi,miss,assisted,25.2,32.2,0,right-foot,close-right,0,41.7,16.7,2569823,80,4755,32.2,25.2,58.3,0,58.3,83.3,11,645,shot,0.0,0.0,0.0,0.0,0.0,0,0.0
6,imbabura,delfin,delfin,2,Mejia Marcos,save,regular,26.7,58.8,0,right-foot,high-centre,0,50.5,22.8,2569880,79,4704,58.8,26.7,49.5,0,49.5,77.2,12,696,shot,0.90000000000001,50.7,0.0,50.7,0.90000000000001,0,0.0
7,imbabura,delfin,delfin,2,Mejia Marcos,save,corner,11.2,34.3,0,head,high-centre,0,50.6,24.7,2569849,75,4495,34.3,11.2,49.4,0,49.4,75.3,16,905,shot,1.2,48.9,0.0,48.9,1.2,0,0.0
8,imbabura,delfin,delfin,2,Juan Manuel Elordi,block,corner,8.8,45.2,0,head,low-centre,0,50.6,19.0,2569811,72,4288,45.2,8.8,49.4,0,49.4,81.0,19,1112,shot,6.7,46.2,0.0,46.2,6.7,0,0.0
9,imbabura,delfin,imbabura,2,Leonar Espinoza,miss,regular,22.6,62.6,0,left-foot,high-right,0,42.2,66.7,2569799,71,4206,62.6,22.6,57.8,0,57.8,33.3,20,1194,shot,0.0,0.0,0.0,0.0,0.0,0,0.0
