home,away,team,matchweek,ball_possession,total_shots,shots_on_target,shots_off_target,blocked_shots,corner_kicks,fouls,yellow_cards,free_kicks,throw-ins,goal_kicks,big_chances,hit_woodwork,counter_attacks,counter_attack_shots,shots_inside_box,shots_outside_box,goalkeeper_saves,passes,passes_completed,passes_accuracy,long_balls,long_balls_completed,long_balls_accuracy,crosses,crosses_completed,crosses_accuracy,dribbles,dribbles_completed,dribbles_accuracy,possession_lost,duels_won,aerials_won,tackles,interceptions,clearances,offsides,big_chances_missed,counter_attack_goals,red_cards
aucas,orense,aucas,1,52,10,3,6,1,5,11,2,12,17,6,1,1,1,1,6,4,3,375,311,0.8293,43,74,0.5811,5,22,0.2273,2,11,0.1818,119,31,6,11,7,14,0,0,0,0
aucas,orense,orense,1,48,13,3,5,5,7,12,2,10,19,11,0,0,0,0,4,9,1,355,273,0.769,28,55,0.5091,4,15,0.2667,10,16,0.625,123,47,8,19,1,26,0,0,0,0
barcelona,imbabura,barcelona,1,58,20,7,7,6,8,20,0,12,20,3,4,0,0,0,11,9,5,372,309,0.8306,30,48,0.625,6,23,0.2609,5,19,0.2632,119,45,10,18,10,9,3,3,0,0
barcelona,imbabura,imbabura,1,42,12,5,1,6,4,12,3,20,19,11,0,0,0,0,3,9,5,277,204,0.7365,13,33,0.3939,3,9,0.3333,14,27,0.5185,118,62,9,19,4,17,1,0,0,0
catolica,nacional,catolica,1,75,18,7,6,5,6,16,3,6,19,7,4,0,2,1,14,4,1,646,584,0.904,55,73,0.7534,3,16,0.1875,13,22,0.5909,104,44,10,15,2,15,1,1,1,0
catolica,nacional,nacional,1,25,9,1,7,1,5,7,1,15,15,10,0,0,0,0,1,8,4,205,129,0.6293,21,56,0.375,2,12,0.1667,2,14,0.1429,111,42,10,15,6,19,1,0,0,0
cuenca,emelec,cuenca,1,54,11,1,8,2,5,10,1,5,19,8,0,0,0,0,5,6,1,339,257,0.7581,31,67,0.4627,4,17,0.2353,7,14,0.5,125,28,7,9,4,12,0,0,0,1
cuenca,emelec,emelec,1,46,9,3,5,1,2,5,2,9,27,7,0,0,1,1,6,3,0,293,207,0.7065,20,61,0.3279,3,13,0.2308,2,6,0.3333,128,31,6,14,6,18,1,0,0,1
delfin,independiente,delfin,1,38,5,2,2,1,4,10,3,14,17,7,1,0,0,0,3,2,2,220,116,0.5273,22,78,0.2821,1,17,0.0588,5,8,0.625,161,49,18,12,6,14,3,1,0,0
delfin,independiente,independiente,1,62,8,3,2,3,2,15,4,10,19,7,1,0,0,0,3,5,2,380,281,0.7395,40,85,0.4706,4,11,0.3636,5,12,0.4167,151,52,23,14,5,32,4,0,0,0
liga,macara,liga,1,61,17,4,8,5,2,16,2,10,16,13,4,1,2,2,7,10,6,492,410,0.8333,26,60,0.4333,5,13,0.3846,5,10,0.5,114,50,17,18,11,16,1,3,0,0
liga,macara,macara,1,39,18,7,6,5,4,11,2,16,16,12,3,0,0,0,7,11,2,312,243,0.7788,38,64,0.5938,2,15,0.1333,4,16,0.25,122,41,12,9,13,13,0,2,0,0
mushuc-runa,libertad,mushuc-runa,1,61,24,11,10,3,6,13,6,17,24,9,2,1,0,0,13,11,3,369,300,0.813,42,69,0.6087,9,42,0.2143,3,8,0.375,134,46,9,17,1,11,0,2,0,0
mushuc-runa,libertad,libertad,1,39,10,4,4,2,2,18,4,12,12,14,2,0,0,0,7,3,9,251,187,0.745,21,58,0.3621,2,8,0.25,2,14,0.1429,100,45,16,15,6,44,0,1,0,1
